,x_pos,y_pos,x_val,y_val,id
133,1,0,38.0,0.684004791208587,1
134,1,0,39.0,0.670379392175589,1
135,1,0,40.0,0.6571573905138675,1
136,1,0,41.0,0.6443954964795228,1
137,1,0,42.0,0.6321436086982106,1
138,1,0,43.0,0.6204442828878481,1
139,1,1,5.0,0.9338415379215117,6
140,1,1,6.0,0.9110511209669073,6
141,1,1,7.0,0.8838520924121056,6
142,1,1,8.0,0.8525641294587292,6
143,1,1,9.0,0.8178725571667604,6
144,1,1,10.0,0.7807965040439132,6
145,1,1,11.0,0.7426033224411064,6
146,1,1,12.0,0.704680468344882,6
147,1,1,13.0,0.6683861180665955,6
148,1,1,14.0,0.634905006862815,6
149,1,1,15.0,0.6051346862636224,6
150,1,1,16.0,0.5796200166070027,6
151,1,1,17.0,0.5585425140863987,6
152,1,1,18.0,0.5417594567873562,6
153,1,1,19.0,0.5288785721475937,6
154,1,2,12.0,0.979813637131287,11
155,1,2,13.0,0.9728319330810486,11
156,1,2,14.0,0.9640648425371816,11
157,1,2,15.0,0.9532757717372151,11
158,1,2,16.0,0.9402636806378689,11
159,1,2,17.0,0.9248840943221779,11
160,1,2,18.0,0.9070694677133606,11
161,1,2,19.0,0.8868465734949023,11
162,1,2,20.0,0.8643485474101418,11
163,1,2,21.0,0.8398195360325482,11
164,1,2,22.0,0.8136105512410944,11
165,1,2,23.0,0.7861660792068329,11
166,1,2,24.0,0.7580020950829242,11
167,1,2,25.0,0.7296772312431541,11
168,1,2,26.0,0.7017597585107883,11
169,1,2,27.0,0.6747936113814192,11
170,1,2,28.0,0.6492668201154653,11
171,1,2,29.0,0.6255853815248602,11
172,1,2,30.0,0.6040548644623766,11
173,1,2,31.0,0.5848710325849983,11
174,1,2,32.0,0.568119645360541,11
175,1,2,33.0,0.5537845459139347,11
176,1,2,34.0,0.5417623126064912,11
177,1,2,35.0,0.5318812398385276,11
178,1,2,36.0,0.5239222574851955,11
179,1,2,37.0,0.5176395697054924,11
180,1,2,38.0,0.512779215740876,11
181,1,3,11.0,0.9811298221698365,16
182,1,3,12.0,0.974395277814631,16
183,1,3,13.0,0.9658744941507279,16
184,1,3,14.0,0.9553154607084826,16
185,1,3,15.0,0.942499767465889,16
186,1,3,16.0,0.9272650866412808,16
187,1,3,17.0,0.9095273607154186,16
188,1,3,18.0,0.8893001569692837,16
189,1,3,19.0,0.8667085517080009,16
190,1,3,20.0,0.84199519886789,16
191,1,3,21.0,0.8155169299855514,16
192,1,3,22.0,0.7877312616044401,16
193,1,3,23.0,0.7591734153168145,16
194,1,3,24.0,0.7304256957602229,16
195,1,3,25.0,0.7020821165455772,16
196,1,3,26.0,0.6747118309979134,16
197,1,3,27.0,0.6488250942226184,16
198,1,3,28.0,0.6248451246252092,16
199,1,3,29.0,0.6030884114063458,16
200,1,3,30.0,0.5837548758378085,16
201,2,0,12.0,0.9964081044536928,2
